"sample_name","organism","isolation_source","collection_date","geographic_location","latitude_and_longitude","sample_description"
"LR75R","River metagenome","River","2016-08-11","Canada:Quebec","50.36592 N 63.58032 W","cDNA"
"LR80R","River metagenome","River","2016-08-14","Canada:Quebec","51.65284 N 63.71143 W","cDNA"
"M17R","Estuary metagenome","Estuary","2016-08-14","Canada:Quebec","50.28684 N 63.84786 W","cDNA"
"M18R","Estuary metagenome","Estuary","2016-08-14","Canada:Quebec","50.28551 N 63.85236 W","cDNA"
"M19R","Estuary metagenome","Estuary","2016-08-14","Canada:Quebec","50.26292 N 63.85185 W","cDNA"
"M20R","Estuary metagenome","Estuary","2016-08-14","Canada:Quebec","50.2596 N 63.84907 W","cDNA"
"PR34R","Stream metagenome","Stream","2016-08-04","Canada:Quebec","51.36654 N 63.87719 W","cDNA"
"PR35R","Stream metagenome","Stream","2016-08-05","Canada:Quebec","51.21284 N 63.92261 W","cDNA"
"PR36R","Stream metagenome","Stream","2016-08-05","Canada:Quebec","51.2095 N 63.92092 W","cDNA"
"PR37R","Stream metagenome","Stream","2016-08-07","Canada:Quebec","51.20212 N 63.9233 W","cDNA"
"PR38R","Stream metagenome","Stream","2016-08-07","Canada:Quebec","51.20287 N 63.92476 W","cDNA"
"PR40R","Stream metagenome","Stream","2016-08-09","Canada:Quebec","51.303572 N 63.869197 W","cDNA"
"PR41R","Stream metagenome","Stream","2016-08-09","Canada:Quebec","51.30254 N 63.87091 W","cDNA"
"PR42R","Stream metagenome","Stream","2016-08-10","Canada:Quebec","51.30536 N 63.8649 W","cDNA"
"PR43R","Stream metagenome","Stream","2016-08-10","Canada:Quebec","51.30408 N 63.85194 W","cDNA"
"RO107R","Reservoir metagenome","Reservoir","2016-08-02","Canada:Quebec","50.46215 N 63.22967 W","cDNA"
"RO108R","Reservoir metagenome","Reservoir","2016-08-04","Canada:Quebec","50.62074 N 63.16989 W","cDNA"
"RO109R","Reservoir metagenome","Reservoir","2016-08-04","Canada:Quebec","50.45219 N 63.23246 W","cDNA"
"RO112R","Reservoir metagenome","Reservoir","2016-08-15","Canada:Quebec","50.43068 N 63.21952 W","cDNA"
"RO246R","Reservoir metagenome","Reservoir","2016-08-05","Canada:Quebec","50.8881 N 63.22749 W","cDNA"
"RO247R","Reservoir metagenome","Reservoir","2016-08-05","Canada:Quebec","50.85912 N 63.1628 W","cDNA"
"RO248R","Reservoir metagenome","Reservoir","2016-08-07","Canada:Quebec","51.00187 N 63.34712 W","cDNA"
"RO249R","Reservoir metagenome","Reservoir","2016-08-07","Canada:Quebec","51.02136 N 63.30664 W","cDNA"
"RO250R","Reservoir metagenome","Reservoir","2016-08-07","Canada:Quebec","51.05091 N 63.19594 W","cDNA"
"RO251R","Reservoir metagenome","Reservoir","2016-08-07","Canada:Quebec","51.01549 N 63.25632 W","cDNA"
"RO252R","Reservoir metagenome","Reservoir","2016-08-08","Canada:Quebec","50.94286 N 63.34372 W","cDNA"
"RO254R","Reservoir metagenome","Reservoir","2016-08-08","Canada:Quebec","50.86029 N 63.18496 W","cDNA"
"RO255R","Reservoir metagenome","Reservoir","2016-08-10","Canada:Quebec","50.8422 N 63.18331 W","cDNA"
"RO256R","Reservoir metagenome","Reservoir","2016-08-10","Canada:Quebec","50.7984 N 63.20644 W","cDNA"
"RO257R","Reservoir metagenome","Reservoir","2016-08-10","Canada:Quebec","50.75955 N 63.2112 W","cDNA"
"S34R","Soil metagenome","Soil","2016-08-04","Canada:Quebec","51.36654 N 63.87719 W","cDNA"
"S35R","Soil metagenome","Soil","2016-08-05","Canada:Quebec","51.21284 N 63.92261 W","cDNA"
"S36R","Soil metagenome","Soil","2016-08-05","Canada:Quebec","51.2095 N 63.92261 W","cDNA"
"S37R","Soil metagenome","Soil","2016-08-07","Canada:Quebec","51.20212 N 63.92330 W","cDNA"
"S39R","Soil metagenome","Soil","2016-08-07","Canada:Quebec","51.18631 N 63.93174 W","cDNA"
"S40R","Soil metagenome","Soil","2016-08-09","Canada:Quebec","51.303572 N 63.86920 W","cDNA"
"S42R","Soil metagenome","Soil","2016-08-10","Canada:Quebec","51.30536 N 63.86490 W","cDNA"
"SW33R","Soilwater metagenome","Soilwater","2016-08-04","Canada:Quebec","51.36618 N 63.87583 W","cDNA"
"SW35R","Soilwater metagenome","Soilwater","2016-08-06","Canada:Quebec","51.21284 N 63.92261 W","cDNA"
"SW36R","Soilwater metagenome","Soilwater","2016-08-06","Canada:Quebec","51.2095 N 63.92092 W","cDNA"
"SW40R","Soilwater metagenome","Soilwater","2016-08-09","Canada:Quebec","51.303572 N 63.869197 W","cDNA"
"SW42R","Soilwater metagenome","Soilwater","2016-08-10","Canada:Quebec","51.30536 N 63.8649 W","cDNA"
"SW43R","Soilwater metagenome","Soilwater","2016-08-11","Canada:Quebec","51.30408 N 63.85194 W","cDNA"
"SWR34R","Soilwater metagenome","Soilwater","2016-08-05","Canada:Quebec","51.36654 N 63.87719 W","cDNA"
"L330CM2D","Sediment metagenome","Sediment","2016-06-13","Canada:Quebec","51.18157 N 63.92587 W","DNA"
"L330CM3D","Sediment metagenome","Sediment","2016-08-05","Canada:Quebec","51.18157 N 63.92587 W","DNA"
"L331SD","Sediment metagenome","Sediment","2016-08-05","Canada:Quebec","51.18164 N 63.92405 W","DNA"
"L332SD","Sediment metagenome","Sediment","2016-08-11","Canada:Quebec","51.18164 N 63.89855 W","DNA"
"S34D","Soil metagenome","Soil","2016-08-04","Canada:Quebec","51.36654 N 63.87719 W","DNA"
"S35D","Soil metagenome","Soil","2016-08-05","Canada:Quebec","51.21284 N 63.92261 W","DNA"
"S36D","Soil metagenome","Soil","2016-08-05","Canada:Quebec","51.2095 N 63.92261 W","DNA"
"S37D","Soil metagenome","Soil","2016-08-07","Canada:Quebec","51.20212 N 63.92330 W","DNA"
"S39D","Soil metagenome","Soil","2016-08-07","Canada:Quebec","51.18631 N 63.93174 W","DNA"
"S40D","Soil metagenome","Soil","2016-08-09","Canada:Quebec","51.303572 N 63.86920 W","DNA"
"S42D","Soil metagenome","Soil","2016-08-10","Canada:Quebec","51.30536 N 63.86490 W","DNA"
